episodes,rewards,time
77498.49144914492,9.882272,53808.394103999955
77528.49434943494,17.000217,53850.34153899996
77558.49724972497,26.953669,53892.307247999954
77588.50015001501,14.020697,53934.29133199996
77618.50305030504,4.763009,53976.28911999996
77648.50595059506,27.205144,54018.30109399996
77678.50885088509,23.883128,54060.32689399996
77708.51175117512,32.056371,54102.394818999965
77738.51465146514,23.996053,54144.47665399996
77768.51755175518,24.494822,54186.57176899996
77798.52045204521,24.12847,54228.680083999956
77828.52335233524,19.244923,54270.802394999955
77858.52625262526,1.560397,54312.938119999955
77888.52915291529,15.570121,54355.090088999954
77918.53205320533,20.2774,54397.255411999955
77948.53495349536,19.588389,54439.43417699995
77978.53785378538,-0.194426,54481.62649599995
78008.54075407541,17.172861,54523.858275999955
78038.54365436544,14.681564,54566.105971999954
78068.54655465546,15.6489,54608.366826999954
78098.5494549455,19.628267,54650.64084399996
78128.55235523553,24.569059,54692.92864999996
78158.55525552556,14.309038,54735.22939599996
78188.55815581558,17.000005,54777.544036999956
78218.56105610561,22.053998,54819.871880999955
78248.56395639564,13.716726,54862.21274499995
78278.56685668568,14.47174,54904.57080799995
78308.5697569757,22.097324,54946.96892899995
78338.57265726573,-1.817876,54989.38097199995
78368.57555755576,15.867113,55031.80634799995
78398.57845784578,26.368873,55074.245751999944
78428.58135813581,13.000111,55116.702168999946
78458.58425842585,0.195911,55159.172589999944
78488.58715871588,11.559016,55201.65645799995
78518.5900590059,16.472656,55244.15326099995
78548.59295929593,12.941493,55286.66257699995
78578.59585958596,13.693643,55329.185754999955
78608.598759876,29.451885,55371.751048999955
78638.60166016602,27.572879,55414.33027799996
78668.60456045605,26.277871,55456.92311199996
78698.60746074608,22.343154,55499.52923799996
78728.6103610361,13.632237,55542.14867699996
78758.61326132613,37.074254,55584.78115899996
78788.61616161617,13.156495,55627.42665899996
78818.6190619062,13.997716,55670.08619299996
78848.62196219622,22.444025,55712.76277399996
78878.62486248625,24.496548,55755.45302399996
78908.62776277628,23.493402,55798.18196499996
78938.6306630663,18.960292,55840.92392099996
78968.63356335634,30.534358,55883.679932999956
78998.63646364637,15.834866,55926.451979999954
79028.6393639364,14.80612,55969.23663499996
79058.64226422642,21.665958,56012.03470199996
79088.64516451645,29.479115,56054.84622999996
79118.64806480649,5.288828,56097.670885999956
79148.65096509652,28.495347,56140.508588999954
79178.65386538654,-1.422125,56183.36025999995
79208.65676567657,26.876016,56226.25472699995
79238.6596659666,24.510553,56269.16263499995
79268.66256625662,31.838228,56312.08435599995
79298.66546654666,20.325041,56355.01904899995
79328.66836683669,26.317864,56397.96661099995
79358.67126712672,21.077829,56440.92710099995
79388.67416741674,27.919027,56483.90380099995
79418.67706770677,27.216739,56526.89490799995
79448.6799679968,22.421029,56569.89904799995
79478.68286828684,10.225031,56612.91652099995
79508.68576857686,22.532484,56655.97325799995
79538.68866886689,7.949523,56699.042889999946
79568.69156915692,21.863183,56742.128600999946
79598.69446944694,19.739914,56785.227718999944
79628.69736973698,18.268827,56828.341179999945
79658.70027002701,16.528566,56871.46851699994
79688.70317031704,35.45842,56914.60862399994
79718.70607060706,26.394094,56957.761700999945
79748.70897089709,25.536449,57000.92723099994
79778.71187118712,27.598439,57044.106136999944
79808.71477147716,32.875293,57087.32825099994
79838.71767176718,23.966787,57130.56399299994
79868.72057205721,30.972626,57173.81311999994
79898.72347234724,32.19409,57217.07524299994
79928.72637263726,20.571131,57260.35013299994
79958.72927292729,27.900248,57303.64166199994
79988.73217321733,43.587853,57346.94812199994
80018.73507350736,35.379502,57390.268708999945
80048.73797379738,43.356,57433.60262699994
80078.74087408741,25.402426,57476.94985199994
80108.74377437744,34.17281,57520.33578199994
80138.74667466748,42.324411,57563.73762899994
80168.7495749575,31.099904,57607.15275599994
80198.75247524753,38.682448,57650.581651999935
80228.75537553756,20.290736,57694.024436999935
80258.75827582758,48.837405,57737.480592999935
80288.76117611761,37.80791,57780.949236999935
80318.76407640765,18.498147,57824.43077899994
80348.76697669768,49.679051,57867.925189999936
80378.7698769877,30.925546,57911.436663999935
80408.77277727773,36.324002,57954.98840399994
80438.77567756776,26.078811,57998.55316499994
80468.77857785778,38.916618,58042.13102099994
80498.78147814782,48.338563,58085.72216599994
80528.78437843785,41.032893,58129.32956699994
80558.78727872788,46.753127,58172.95101199994
80588.7901790179,37.99032,58216.58610199994
80618.79307930793,27.495295,58260.23476499994
80648.79597959796,46.203144,58303.89621299994
80678.798879888,20.362089,58347.57026999994
80708.80178017802,39.498132,58391.28741299994
80738.80468046805,30.106674,58435.01769799994
80768.80758075808,33.84881,58478.76165799994
80798.8104810481,36.195747,58522.51892599994
80828.81338133814,20.800595,58566.28960199994
80858.81628162817,31.727165,58610.07371099994
80888.8191819182,34.225982,58653.87193399994
80918.82208220822,47.378425,58697.68584199993
80948.82498249825,43.583421,58741.51341899993
80978.82788278828,36.64404,58785.35519699993
81008.83078307832,30.998396,58829.23706499993
81038.83368336834,39.573047,58873.13173299993
81068.83658365837,42.732678,58917.03946799993
81098.8394839484,45.839409,58960.96348499993
81128.84238423842,44.199117,59004.90144199993
81158.84528452845,28.379469,59048.85275799993
81188.84818481849,32.444653,59092.817026999925
81218.85108510852,47.185357,59136.794227999926
81248.85398539854,18.770042,59180.784832999925
81278.85688568857,31.025487,59224.788847999924
81308.8597859786,20.459783,59268.84753399992
81338.86268626864,33.646738,59312.92579099992
81368.86558655866,48.512424,59357.023182999925
81398.86848684869,29.122413,59401.13551699992
81428.87138713872,19.898659,59445.26519499992
81458.87428742874,34.534542,59489.40850399992
81488.87718771877,41.234371,59533.565711999916
81518.88008800881,41.767067,59577.736140999914
81548.88298829884,35.202065,59621.91976499991
81578.88588858886,36.932465,59666.11792299991
81608.88878887889,46.475722,59710.35969499991
81638.89168916892,37.231567,59754.61453199991
81668.89458945894,37.489769,59798.88344699991
81698.89748974898,34.851286,59843.16647399991
81728.90039003901,46.41173,59887.46314899991
81758.90329032904,33.089041,59931.77240499991
81788.90619061906,35.186533,59976.095533999905
81818.90909090909,39.253807,60020.43494799991
81848.91199119913,46.516206,60064.78723999991
81878.91489148916,29.396473,60109.15311299991
81908.91779177918,30.678287,60153.560913999914
81938.92069206921,40.432327,60197.98265299991
81968.92359235924,34.984274,60242.41779199991
81998.92649264926,38.363116,60286.868924999915
82028.9293929393,58.47586,60331.33346599992
82058.93229322933,29.22716,60375.81090399992
82088.93519351936,43.886027,60420.30104499992
82118.93809380938,41.430118,60464.80435599992
82148.94099409941,51.310662,60509.32075099992
82178.94389438943,40.127312,60553.85015299992
82208.94679467948,27.103769,60598.42262499992
82238.9496949695,38.510101,60643.00900499992
82268.95259525953,30.398408,60687.60845399992
82298.95549554956,25.728652,60732.22134499992
82328.95839583958,26.418783,60776.848337999916
82358.96129612962,23.744436,60821.48853399992
82388.96419641965,39.411928,60866.145703999915
82418.96709670968,30.026564,60910.818672999914
82448.9699969997,48.004391,60955.506257999914
82478.97289728973,27.819754,61000.20847199991
82508.97579757975,30.013763,61044.95109999991
82538.9786978698,34.262179,61089.71011699991
82568.98159815982,19.912815,61134.48219599991
82598.98449844985,54.183821,61179.26744899991
82628.98739873988,40.852091,61224.06694799991
82658.9902990299,49.179474,61268.880355999914
82688.99319931993,32.066895,61313.70698299992
82718.99609960997,48.20336,61358.54631399992
82748.9989999,12.410551,61403.39840899992
82779.00190019002,37.172135,61448.26762499992
82809.00480048005,37.389928,61493.17598499992
82839.00770077007,46.749157,61538.09792599992
82869.01060106012,32.069161,61583.03300099992
82899.01350135014,-2.119979,61627.98174099992
82929.01640164017,35.122225,61672.94602099992
82959.0193019302,29.86417,61717.92465399992
82989.02220222022,42.721395,61762.91732599992
83019.02510251025,38.525326,61807.922729999926
83049.02800280029,37.566441,61852.941214999926
83079.03090309032,56.20319,61897.97322599993
83109.03380338034,42.530745,61943.04900399993
83139.03670367037,46.659333,61988.13815699993
83169.0396039604,27.49613,62033.24086499993
83199.04250425042,21.698721,62078.356960999925
83229.04540454046,38.607432,62123.48639699993
83259.04830483049,35.519073,62168.62913799993
83289.05120512052,31.666075,62213.78541599993
83319.05410541054,18.690863,62258.95822599993
83349.05700570057,33.222296,62304.14523299993
83379.0599059906,24.663544,62349.34513099993
83409.06280628064,22.722321,62394.58541899993
83439.06570657066,22.517699,62439.83932199993
83469.06860686069,25.170823,62485.106656999924
83499.07150715071,38.534909,62530.39055899993
83529.07440744074,40.878663,62575.68787099993
83559.07730773078,25.733212,62620.99948299993
83589.08020802081,42.419443,62666.32494399993
83619.08310831084,49.094118,62711.66445899993
83649.08600860086,30.191732,62757.018007999926
83679.08890889089,33.863751,62802.38492899993
83709.09180918091,28.154671,62847.79446699993
83739.09470947096,4.31499,62893.21773799993
83769.09760976098,33.85295,62938.65532599993
83799.10051005101,43.676361,62984.10705599993
83829.10341034103,46.311687,63029.57230799993
83859.10631063106,29.877384,63075.05083899993
83889.10921092109,35.602829,63120.54541499993
83919.11211121113,48.046831,63166.05381499993
83949.11501150116,25.835625,63211.57526399993
83979.11791179118,43.796645,63257.110056999925
84009.12081208121,33.864803,63302.68802299992
84039.12371237123,23.594428,63348.27923399992
84069.12661266128,15.862175,63393.88709899992
84099.1295129513,37.258095,63439.508112999916
84129.13241324133,33.147926,63485.14270699992
84159.13531353135,16.549791,63530.79121699992
84189.13821382138,30.547096,63576.45302199992
84219.14111411141,39.212968,63622.128257999924
84249.14401440145,26.266768,63667.81694899993
84279.14691469148,31.316366,63713.52245999993
84309.1498149815,35.348937,63759.26751599993
